,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
5,Cleveland Cavaliers*,82,241.2,35.8,80.9,.442,6.4,18.4,.347,29.4,62.5,.471,17.6,23.3,.757,9.7,28.9,38.5,20.3,6.6,4.0,12.7,20.8,95.6,2010
6,Milwaukee Bucks*,82,243.7,35.0,77.6,.451,5.3,15.6,.343,29.7,62.0,.478,20.6,27.0,.765,9.6,33.2,42.8,19.3,7.0,5.1,15.3,20.3,96.0,2010
7,San Antonio Spurs*,82,241.2,36.9,81.6,.452,5.0,14.6,.343,31.9,67.0,.476,17.5,23.1,.756,9.9,29.6,39.5,19.2,6.9,5.1,12.6,20.4,96.3,2010
8,Los Angeles Lakers*,82,241.8,37.2,83.4,.446,6.3,19.3,.328,30.9,64.1,.481,16.2,21.7,.750,11.1,31.0,42.2,21.9,7.0,4.4,14.1,21.2,97.0,2010
9,Atlanta Hawks*,82,242.1,37.2,80.8,.460,5.9,17.0,.345,31.3,63.8,.491,16.8,22.6,.745,11.2,30.1,41.4,21.0,6.2,4.4,13.8,19.3,97.0,2010
10,Oklahoma City Thunder*,82,241.5,36.7,81.9,.448,5.9,17.2,.340,30.8,64.7,.476,18.8,24.6,.764,11.4,29.2,40.7,19.7,7.5,4.7,15.1,21.4,98.0,2010
11,Utah Jazz*,82,240.9,35.5,78.9,.449,6.7,19.0,.354,28.7,59.9,.480,21.2,27.9,.762,10.2,29.0,39.2,19.9,7.7,5.4,15.1,22.2,98.9,2010
12,Chicago Bulls*,82,242.7,37.1,84.0,.442,7.1,20.5,.348,30.0,63.5,.472,17.8,23.9,.744,11.2,31.6,42.7,20.9,7.0,5.3,13.3,20.0,99.1,2010
13,Detroit Pistons,82,241.2,36.2,75.3,.480,6.9,18.5,.375,29.2,56.8,.515,19.9,25.9,.767,9.9,29.5,39.4,23.1,6.7,4.9,14.3,20.8,99.1,2010
14,Dallas Mavericks*,82,242.4,37.9,83.0,.457,6.4,18.5,.347,31.5,64.5,.488,17.1,22.5,.758,11.2,31.6,42.9,20.2,6.9,4.1,14.6,20.1,99.3,2010
15,,,,,,,,,,,,,,,,,,,,,,,,,2010
16,Washington Wizards,82,241.8,37.6,81.3,.463,6.4,17.9,.360,31.2,63.4,.492,19.4,25.5,.761,11.4,30.9,42.3,21.6,6.9,5.1,13.6,20.5,101.0,2010
17,New Jersey Nets,82,241.2,38.7,80.4,.481,5.7,15.6,.366,33.0,64.8,.509,18.4,24.6,.748,11.3,32.7,44.0,23.9,7.8,5.1,14.0,20.1,101.5,2010
18,Philadelphia 76ers,82,241.5,37.9,80.2,.472,7.4,18.8,.393,30.5,61.4,.497,18.5,24.2,.766,10.8,30.1,41.0,22.1,7.6,4.0,14.5,18.7,101.6,2010
19,Los Angeles Clippers,82,240.3,38.9,82.8,.470,6.5,17.8,.363,32.5,65.1,.499,17.7,23.3,.762,10.7,30.4,41.1,23.5,8.4,4.4,12.9,19.4,102.1,2010
20,Denver Nuggets*,82,241.2,37.7,82.5,.456,6.4,18.3,.349,31.3,64.2,.487,20.7,26.9,.768,11.6,30.6,42.3,21.0,7.0,5.3,15.1,23.7,102.4,2010
21,New Orleans Hornets,82,241.8,39.6,82.1,.483,6.6,18.5,.355,33.1,63.6,.520,16.9,22.5,.751,10.6,31.5,42.1,23.5,7.0,4.5,14.4,19.5,102.7,2010
22,Houston Rockets,82,242.7,39.5,83.0,.475,6.0,16.4,.364,33.5,66.7,.503,17.9,23.4,.764,10.7,32.1,42.8,20.9,7.3,6.5,14.7,22.4,102.7,2010
23,Indiana Pacers,82,240.3,38.0,83.8,.453,6.2,17.1,.363,31.7,66.7,.476,21.6,28.6,.756,11.8,34.8,46.6,20.7,8.0,5.0,15.0,20.8,103.8,2010
24,Memphis Grizzlies,82,242.7,40.0,83.5,.478,7.0,19.7,.354,33.0,63.8,.517,17.1,22.7,.755,11.1,28.6,39.7,22.9,7.7,6.1,14.2,22.4,104.0,2010
25,Sacramento Kings,82,242.4,39.0,83.3,.469,6.1,17.0,.357,33.0,66.3,.497,20.3,26.2,.774,11.1,31.0,42.0,20.5,7.1,5.7,13.7,20.1,104.4,2010
26,Phoenix Suns*,82,240.6,39.5,87.4,.452,6.8,19.3,.355,32.6,68.1,.479,19.6,25.8,.760,13.2,29.2,42.3,20.8,7.9,4.5,13.0,21.8,105.3,2010
27,Toronto Raptors,82,241.2,39.0,83.2,.468,7.4,20.3,.366,31.5,62.9,.501,20.5,26.2,.784,11.4,29.9,41.3,23.0,7.1,4.4,12.7,21.1,105.9,2010
28,New York Knicks,82,242.4,40.9,84.2,.486,6.7,19.2,.352,34.1,65.0,.525,17.4,23.1,.754,11.7,33.2,44.9,21.0,7.1,4.5,14.4,19.2,105.9,2010
29,Minnesota Timberwolves,82,241.2,40.8,84.9,.480,7.5,20.6,.366,33.2,64.3,.517,18.7,24.2,.774,11.2,32.2,43.4,25.6,8.8,5.4,14.3,20.6,107.8,2010
30,Golden State Warriors,82,240.6,41.6,85.8,.485,6.9,18.5,.375,34.7,67.3,.515,22.3,29.1,.767,13.4,34.7,48.1,24.1,7.9,5.0,17.6,21.4,112.4,2010
