,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
21,Portland Trail Blazers,1-1,1-1,2-0,2-0,1-1,2-2,2-2,2-0,4-0,3-1,2-0,2-2,2-2,1-1,2-0,1-3,2-0,1-1,2-0,1-1,1-3,,1-3,1-3,2-2,2-0,3-1,2-2,2-0,2001,50,32,.610,6.0,95.4,91.2,4.52,2001,Portland Trail Blazers,1,,,,,,,,
22,Sacramento Kings,1-1,2-0,1-1,2-0,1-1,2-2,2-2,2-0,4-0,4-0,0-2,3-1,1-3,1-1,0-2,2-2,2-0,1-1,2-0,1-1,3-1,3-1,,2-2,2-2,2-0,3-1,4-0,2-0,2001,55,27,.671,1.0,101.7,95.9,6.07,2001,Sacramento Kings,1,,,,,,,,
23,San Antonio Spurs,2-0,2-0,1-1,1-1,2-0,3-1,2-2,2-0,4-0,3-1,2-0,4-0,2-2,1-1,0-2,3-1,1-1,0-2,1-1,1-1,2-2,3-1,2-2,,3-1,1-1,4-0,4-0,2-0,2001,58,24,.707,—,96.2,88.4,7.92,2001,San Antonio Spurs,1,,,,,,,,
24,Seattle SuperSonics,1-1,0-2,2-0,2-0,2-0,1-3,2-2,0-2,4-0,2-2,1-1,4-0,4-0,1-1,2-0,1-3,1-1,1-1,1-1,1-1,1-3,2-2,2-2,1-3,,0-2,0-4,3-1,2-0,2001,44,38,.537,12.0,97.3,97.3,0.55,2001,Seattle SuperSonics,0,,,,,,,,
25,Toronto Raptors,2-2,3-1,1-3,4-0,4-0,0-2,2-0,2-2,2-0,0-2,4-0,1-1,0-2,2-2,1-3,0-2,2-1,3-1,1-2,3-1,0-2,0-2,0-2,1-1,2-0,,1-1,2-0,4-0,2001,47,35,.573,5.0,97.6,95.4,1.69,2001,Toronto Raptors,1,,,,,,,,
26,Utah Jazz,2-0,1-1,1-1,2-0,1-1,2-2,3-1,2-0,3-1,3-1,2-0,4-0,2-2,1-1,0-2,2-2,2-0,2-0,2-0,1-1,2-2,1-3,1-3,0-4,4-0,1-1,,4-0,2-0,2001,53,29,.646,5.0,97.1,92.4,5.00,2001,Utah Jazz,1,,,,,,,,
27,Vancouver Grizzlies,1-1,2-0,1-1,1-1,1-1,1-3,0-4,1-1,3-1,0-4,0-2,2-2,0-4,0-2,1-1,1-3,1-1,1-1,0-2,0-2,1-3,2-2,0-4,0-4,1-3,0-2,0-4,,2-0,2001,23,59,.280,35.0,91.7,97.5,-4.94,2001,Vancouver Grizzlies,0,,,,,,,,
28,Washington Wizards,2-2,1-3,2-2,1-2,2-2,0-2,1-1,2-1,2-0,0-2,0-4,1-1,0-2,0-4,1-3,1-1,1-3,0-4,1-3,0-4,1-1,0-2,0-2,0-2,0-2,0-4,0-2,0-2,,2001,19,63,.232,37.0,93.2,99.9,-6.75,2001,Washington Wizards,0,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Atlantic Division,0,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Central Division,0,,,,,,,,
