,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
15,Milwaukee Bucks,2-1,2-2,,0-4,0-4,0-2,0-2,1-3,2-0,0-2,0-4,0-2,2-0,1-2,,2-0,1-2,1-3,1-3,2-1,0-2,1-1,1-1,2-0,1-1,1-3,0-2,,1-3,2007,28,54,.341,25.0,99.7,104.0,-4.43,2007,Milwaukee Bucks,0,2-0,,2-2,0-2,,,,
16,Minnesota Timberwolves,0-2,1-1,,2-0,0-2,0-4,2-2,1-1,1-2,2-2,2-0,2-1,1-3,0-2,0-2,,1-1,2-0,1-1,2-0,1-3,2-2,2-2,1-2,1-3,0-2,1-3,,1-1,2007,32,50,.390,19.0,96.1,99.7,-3.16,2007,Minnesota Timberwolves,0,1-2,,1-1,1-3,,,,
17,New Jersey Nets,2-1,2-2,,3-1,1-2,0-2,1-1,0-4,1-1,0-2,4-0,1-1,0-2,1-3,2-1,1-1,,4-0,2-2,2-2,0-2,0-2,1-1,0-2,0-2,2-2,2-0,,4-0,2007,41,41,.500,6.0,97.6,98.3,-1.00,2007,New Jersey Nets,1,2-0,,2-1,1-1,,,,
18,New Orleans/Oklahoma City Hornets,2-0,2-0,,0-2,1-1,0-4,2-2,1-1,1-3,3-1,1-1,2-2,2-1,1-1,2-0,3-1,1-1,2-0,1-1,0-2,0-3,1-2,3-1,0-4,2-2,0-2,1-2,,1-1,2007,39,43,.476,28.0,95.5,97.1,-1.19,2007,New Orleans/Oklahoma City Hornets,0,3-1,,1-1,,,,,
19,New York Knicks,2-1,1-3,,1-3,2-2,0-2,1-1,1-2,1-1,0-2,1-2,1-1,2-0,3-1,3-1,0-2,0-4,,2-1,1-3,0-2,1-1,1-1,0-2,1-1,1-3,1-1,,2-2,2007,33,49,.402,14.0,97.5,100.3,-3.06,2007,New York Knicks,0,2-0,,2-2,0-2,,,,
20,Orlando Magic,1-3,3-1,,2-1,2-1,0-2,1-1,0-4,1-1,0-2,2-2,1-1,0-2,4-0,3-1,1-1,2-2,1-2,,2-1,0-2,2-0,1-1,1-1,2-0,0-4,2-0,,2-2,2007,40,42,.488,4.0,94.8,94.0,0.35,2007,Orlando Magic,1,1-1,,2-2,1-1,,,,
21,Philadelphia 76ers,3-1,3-1,,1-2,1-3,0-2,1-1,1-3,0-2,0-2,2-2,0-2,1-1,3-1,1-2,0-2,2-2,3-1,1-2,,1-1,1-1,1-1,0-2,2-0,1-3,1-1,,0-3,2007,35,47,.427,12.0,94.9,98.0,-3.26,2007,Philadelphia 76ers,0,1-1,,2-2,2-0,,,,
22,Phoenix Suns,1-1,2-0,,1-1,2-0,2-2,2-1,1-1,3-1,3-1,2-0,2-2,3-1,2-0,2-0,3-1,2-0,2-0,2-0,1-1,,4-0,3-1,1-2,2-1,2-0,1-3,,1-1,2007,61,21,.744,—,110.2,102.9,7.28,2007,Phoenix Suns,1,4-0,,2-0,3-0,,,,
23,Portland Trail Blazers,1-1,0-2,,0-2,1-1,0-3,1-3,1-1,1-2,2-2,0-2,1-3,2-1,0-2,1-1,2-2,2-0,1-1,0-2,1-1,0-4,,2-2,0-4,2-2,1-1,2-2,,2-0,2007,32,50,.390,19.0,94.1,98.4,-3.78,2007,Portland Trail Blazers,0,2-2,,2-0,2-1,,,,
24,Sacramento Kings,1-1,2-0,,2-0,0-2,0-4,2-2,1-1,1-3,0-3,2-0,2-2,1-3,0-2,1-1,2-2,1-1,1-1,1-1,1-1,1-3,2-2,,0-4,2-1,1-1,2-1,,0-2,2007,33,49,.402,28.0,101.3,103.1,-1.35,2007,Sacramento Kings,0,2-1,,1-1,1-3,,,,
25,San Antonio Spurs,2-0,1-1,,1-1,0-2,1-3,2-1,2-0,3-1,2-2,1-1,4-0,1-2,1-1,0-2,2-1,2-0,2-0,1-1,2-0,2-1,4-0,4-0,,4-0,2-0,2-2,,2-0,2007,58,24,.707,9.0,98.5,90.1,8.35,2007,San Antonio Spurs,1,3-1,,1-1,4-0,,,,
26,Seattle SuperSonics,2-0,1-1,,0-2,1-1,0-4,1-3,0-2,1-3,0-3,2-0,2-2,1-3,0-2,1-1,3-1,2-0,1-1,0-2,0-2,1-2,2-2,1-2,0-4,,1-1,2-2,,0-2,2007,31,51,.378,20.0,99.1,102.0,-2.45,2007,Seattle SuperSonics,0,2-1,,2-0,2-2,,,,
27,Toronto Raptors,2-2,3-1,,2-2,1-3,0-2,1-1,1-2,1-1,1-1,2-1,2-0,1-1,1-2,3-1,2-0,2-2,3-1,4-0,3-1,0-2,1-1,1-1,0-2,1-1,,0-2,,3-1,2007,47,35,.573,—,99.5,98.5,0.61,2007,Toronto Raptors,1,1-1,,3-0,2-0,,,,
28,Utah Jazz,2-0,2-0,,2-0,1-1,2-1,3-1,2-0,2-2,3-1,2-0,3-1,1-2,0-2,2-0,3-1,0-2,1-1,0-2,1-1,3-1,2-2,1-2,2-2,2-2,2-0,,,1-1,2007,51,31,.622,—,101.5,98.6,3.06,2007,Utah Jazz,1,3-1,,1-1,2-1,,,,
29,Washington Wizards,3-1,3-0,,1-3,1-2,1-1,1-1,2-2,1-1,0-2,3-0,1-1,1-1,1-3,3-1,1-1,0-4,2-2,2-2,3-0,1-1,0-2,2-0,0-2,2-0,1-3,1-1,,,2007,41,41,.500,3.0,104.3,104.9,-0.80,2007,Washington Wizards,1,1-1,,2-2,1-1,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,Atlantic Division,0,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,Central Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,Southeast Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,Northwest Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,Pacific Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,0-3,,2-2,1-2,1-1,1-1,0-4,1-1,0-2,1-2,1-1,1-1,3-1,2-2,2-0,1-3,4-0,2-2,3-1,1-1,0-2,1-1,0-2,1-1,1-2,1-1,,2-2,2008,37,45,.451,15.0,98.2,100.0,-2.23,2008,Atlanta Hawks,1,2-0,0-2,2-2,,,,,
1,Boston Celtics,3-0,,,4-0,2-2,2-0,1-1,2-1,1-1,2-0,3-0,2-0,2-0,4-0,4-0,2-0,4-0,4-0,1-2,3-1,1-1,2-0,2-0,2-0,2-0,3-1,1-1,,1-3,2008,66,16,.805,—,100.5,90.3,9.30,2008,Boston Celtics,1,2-0,1-1,3-1,,,,,
2,Charlotte Bobcats,2-2,1-3,,1-3,1-3,0-2,1-1,0-3,1-1,0-2,3-1,2-0,1-1,3-1,1-2,2-0,1-3,1-2,1-3,1-2,0-2,2-0,0-2,0-2,2-0,2-2,1-1,,1-3,2008,32,50,.390,20.0,97.1,101.4,-4.49,2008,Charlotte Bobcats,0,1-1,0-2,,,,,,
3,Chicago Bulls,2-2,0-4,,,3-1,0-2,1-1,3-1,1-1,0-2,2-2,1-1,0-2,2-1,3-1,1-1,1-2,2-2,0-4,1-3,0-2,0-2,1-1,0-2,2-0,1-2,1-1,,1-2,2008,33,49,.402,26.0,97.3,100.4,-3.19,2008,Chicago Bulls,0,1-1,0-2,3-1,,,,,
4,Cleveland Cavaliers,2-1,2-2,,1-3,,1-1,0-2,1-3,1-1,0-2,4-0,2-0,2-0,3-0,1-3,2-0,1-3,2-1,1-3,2-1,0-2,2-0,2-0,1-1,1-1,3-1,1-1,,2-2,2008,45,37,.549,14.0,96.4,96.7,-0.53,2008,Cleveland Cavaliers,1,2-0,0-2,3-1,,,,,
5,Dallas Mavericks,1-1,0-2,,2-0,1-1,,1-2,1-1,3-1,3-1,1-1,4-0,1-3,2-0,1-1,3-0,1-1,2-0,2-0,1-1,2-1,2-2,2-1,1-3,3-1,1-1,2-2,,0-2,2008,51,31,.622,5.0,100.4,95.9,4.70,2008,Dallas Mavericks,1,4-0,2-2,2-0,,,,,
6,Denver Nuggets,1-1,1-1,,1-1,2-0,2-1,,0-2,3-1,2-2,1-1,3-1,0-3,2-0,1-1,4-0,2-0,1-1,1-1,1-1,2-2,2-2,2-1,2-2,3-1,2-0,1-3,,2-0,2008,50,32,.610,4.0,110.7,107.0,3.74,2008,Denver Nuggets,1,4-0,1-2,1-1,,,,,
7,Detroit Pistons,4-0,1-2,,1-3,3-1,1-1,2-0,,2-0,1-1,4-0,2-0,1-1,4-0,3-1,2-0,3-0,2-2,2-2,2-2,2-0,1-1,0-2,2-0,2-0,3-1,0-2,,2-1,2008,59,23,.720,—,97.5,90.1,6.67,2008,Detroit Pistons,1,2-0,2-0,3-0,,,,,
8,Golden State Warriors,1-1,1-1,,1-1,1-1,1-3,1-3,0-2,,2-2,1-1,3-1,2-2,2-0,2-0,3-1,1-1,2-0,1-1,2-0,2-2,2-2,3-1,2-1,2-1,2-0,0-3,,2-0,2008,48,34,.585,9.0,111.0,108.8,2.38,2008,Golden State Warriors,0,4-0,1-2,1-1,,,,,
9,Houston Rockets,2-0,0-2,,2-0,2-0,1-3,2-2,1-1,2-2,,2-0,3-0,2-1,1-1,2-0,3-0,2-0,2-0,1-1,0-2,2-2,4-0,2-2,2-2,4-0,1-1,1-2,,2-0,2008,55,27,.671,1.0,96.7,92.0,4.83,2008,Houston Rockets,1,3-1,2-2,2-0,,,,,
10,Indiana Pacers,2-1,0-3,,2-2,0-4,1-1,1-1,0-4,1-1,0-2,,1-1,0-2,3-1,3-1,1-1,2-2,4-0,1-2,3-0,0-2,2-0,1-1,0-2,1-1,1-3,1-1,,2-2,2008,36,46,.439,23.0,104.0,105.4,-1.87,2008,Indiana Pacers,0,1-1,1-1,1-3,,,,,
11,Los Angeles Clippers,1-1,0-2,,1-1,0-2,0-4,1-3,0-2,1-3,0-3,1-1,,0-4,1-1,1-1,1-3,2-0,2-0,0-2,0-2,1-3,0-3,3-1,0-3,2-1,1-1,1-3,,0-2,2008,23,59,.280,34.0,93.8,101.1,-6.56,2008,Los Angeles Clippers,0,3-1,0-4,0-2,,,,,
12,Los Angeles Lakers,1-1,0-2,,2-0,0-2,3-1,3-0,1-1,2-2,1-2,2-0,4-0,,2-0,1-1,3-0,1-1,2-0,1-1,2-0,3-1,2-2,3-1,2-2,4-0,2-0,3-1,,2-0,2008,57,25,.695,—,108.6,101.3,7.34,2008,Los Angeles Lakers,1,2-1,2-2,1-1,,,,,
13,Memphis Grizzlies,0-2,0-2,,1-1,0-2,0-4,0-4,0-2,0-4,1-3,1-1,1-3,1-2,2-0,0-2,2-2,2-0,2-0,1-1,0-2,0-3,0-3,2-2,1-3,3-1,0-2,0-3,,1-1,2008,22,60,.268,34.0,100.7,106.9,-5.76,2008,Memphis Grizzlies,0,,0-4,1-1,,,,,
14,Miami Heat,1-3,0-4,,1-2,0-3,0-2,0-2,0-4,0-2,1-1,1-3,1-1,0-2,,2-2,1-1,1-2,1-3,0-4,0-3,1-1,0-2,1-1,0-2,1-1,0-4,1-1,,0-4,2008,15,67,.183,37.0,91.4,100.0,-8.53,2008,Miami Heat,0,0-2,0-2,1-3,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,
16,Milwaukee Bucks,2-2,0-4,,1-3,3-1,1-1,1-1,1-3,0-2,0-2,1-3,1-1,1-1,2-2,,1-1,0-4,1-2,1-2,1-3,0-2,0-2,0-2,0-2,1-1,1-2,0-2,,2-2,2008,26,56,.317,33.0,97.0,103.9,-6.92,2008,Milwaukee Bucks,0,2-0,0-2,2-1,,,,,
17,Minnesota Timberwolves,0-2,0-2,,1-1,0-2,0-3,0-4,0-2,1-3,0-3,1-1,3-1,0-3,1-1,1-1,,1-1,1-1,1-1,1-1,2-2,0-4,2-1,0-4,1-3,0-2,2-2,,0-2,2008,22,60,.268,32.0,95.6,102.4,-6.26,2008,Minnesota Timberwolves,0,2-2,1-3,0-2,,,,,
18,New Jersey Nets,3-1,0-4,,2-1,3-1,1-1,0-2,0-3,1-1,0-2,2-2,0-2,1-1,2-1,4-0,1-1,,1-3,1-3,2-2,0-2,1-1,0-2,0-2,2-0,1-3,1-1,,2-1,2008,34,48,.415,32.0,95.8,100.9,-5.15,2008,New Jersey Nets,0,0-2,0-2,3-1,,,,,
19,New Orleans Hornets,2-0,1-1,,2-0,2-0,2-2,2-1,0-2,2-1,2-2,1-1,4-0,2-2,2-0,2-0,3-1,2-0,2-0,1-1,2-0,4-0,2-2,1-2,2-2,3-0,1-1,1-3,,0-2,2008,56,26,.683,—,100.9,95.6,5.46,2008,New Orleans Hornets,1,4-0,,2-0,,,,,
20,New York Knicks,0-4,0-4,,2-2,1-2,0-2,1-1,2-2,0-2,0-2,0-4,0-2,0-2,3-1,2-1,1-1,3-1,,1-3,1-3,0-2,0-2,0-2,0-2,0-2,1-3,1-1,,2-1,2008,23,59,.280,43.0,96.9,103.5,-6.55,2008,New York Knicks,0,0-2,0-2,2-1,,,,,
21,Orlando Magic,2-2,2-1,,4-0,3-1,0-2,1-1,2-2,1-1,1-1,2-1,2-0,1-1,4-0,2-1,1-1,3-1,3-1,,3-1,0-2,2-0,1-1,0-2,2-0,2-1,0-2,,3-1,2008,52,30,.634,—,104.5,99.0,4.79,2008,Orlando Magic,1,1-1,1-1,3-1,,,,,
22,Philadelphia 76ers,1-3,1-3,,3-1,1-2,1-1,1-1,2-2,0-2,2-0,0-3,2-0,0-2,3-0,3-1,1-1,2-2,3-1,1-3,,1-1,1-1,1-1,1-1,2-0,1-3,0-2,,2-2,2008,40,42,.488,26.0,96.6,96.2,0.19,2008,Philadelphia 76ers,1,2-0,0-2,2-1,,,,,
23,Phoenix Suns,1-1,1-1,,2-0,2-0,1-2,2-2,0-2,2-2,2-2,2-0,3-1,1-3,1-1,2-0,2-2,2-0,2-0,2-0,1-1,,3-0,4-0,3-1,4-0,2-0,1-2,,2-0,2008,55,27,.671,2.0,110.1,105.0,5.14,2008,Phoenix Suns,1,3-0,0-4,2-0,,,,,
24,Portland Trail Blazers,2-0,0-2,,2-0,0-2,2-2,2-2,1-1,2-2,0-4,0-2,3-0,2-2,2-0,2-0,4-0,1-1,2-0,0-2,1-1,0-3,,1-3,0-3,2-2,1-1,3-1,,1-1,2008,41,41,.500,13.0,95.4,96.3,-0.52,2008,Portland Trail Blazers,0,3-0,2-2,0-2,,,,,
25,Sacramento Kings,1-1,0-2,,1-1,0-2,1-2,1-2,2-0,1-3,2-2,1-1,1-3,1-3,1-1,2-0,1-2,2-0,2-0,1-1,1-1,0-4,3-1,,1-3,3-1,1-1,2-2,,0-2,2008,38,44,.463,19.0,102.5,104.8,-1.86,2008,Sacramento Kings,0,2-2,2-1,2-0,,,,,
26,San Antonio Spurs,2-0,0-2,,2-0,1-1,3-1,2-2,0-2,1-2,2-2,2-0,3-0,2-2,2-0,2-0,4-0,2-0,2-0,2-0,1-1,1-3,3-0,3-1,,2-1,1-1,2-2,,2-0,2008,56,26,.683,—,95.4,90.6,5.10,2008,San Antonio Spurs,1,3-1,2-2,2-0,,,,,
27,Seattle SuperSonics,1-1,0-2,,0-2,1-1,1-3,1-3,0-2,1-2,0-4,1-1,1-2,0-4,1-1,1-1,3-1,0-2,2-0,0-2,0-2,0-4,2-2,1-3,1-2,,1-1,0-4,,0-2,2008,20,62,.244,34.0,97.5,106.3,-8.04,2008,Seattle SuperSonics,0,1-3,0-3,0-2,,,,,
28,Toronto Raptors,2-1,1-3,,2-1,1-3,1-1,0-2,1-3,0-2,1-1,3-1,1-1,0-2,4-0,2-1,2-0,3-1,3-1,1-2,3-1,0-2,1-1,1-1,1-1,1-1,,0-2,,1-3,2008,41,41,.500,25.0,100.2,97.3,2.47,2008,Toronto Raptors,1,2-0,1-1,2-2,,,,,
29,Utah Jazz,1-1,1-1,,1-1,1-1,2-2,3-1,2-0,3-0,2-1,1-1,3-1,1-3,1-1,2-0,2-2,1-1,1-1,2-0,2-0,2-1,1-3,2-2,2-2,4-0,2-0,,,2-0,2008,54,28,.659,—,106.2,99.3,6.86,2008,Utah Jazz,1,3-0,3-1,1-1,,,,,
30,Washington Wizards,2-2,3-1,,2-1,2-2,2-0,0-2,1-2,0-2,0-2,2-2,2-0,0-2,4-0,2-2,2-0,1-2,1-2,1-3,2-2,0-2,1-1,2-0,0-2,2-0,3-1,0-2,,,2008,43,39,.524,9.0,98.8,99.2,-0.61,2008,Washington Wizards,1,1-1,2-0,3-1,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,Atlantic Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,Central Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,Southeast Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,Northwest Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,Pacific Division,0,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,0-4,,3-0,1-3,1-1,1-1,3-0,1-1,1-1,3-1,1-1,1-1,3-1,3-1,2-0,1-3,1-2,1-3,1-2,0-2,1-1,2-0,0-2,,3-1,1-1,,4-0,2009,47,35,.573,12.0,98.1,96.5,1.70,2009,Atlanta Hawks,1,1-1,2-0,3-1,,2-0,,,
1,Boston Celtics,4-0,,,2-1,2-2,2-0,1-1,3-1,1-1,1-1,3-1,1-1,0-2,3-1,2-1,2-0,4-0,3-1,2-2,4-0,2-0,1-1,2-0,1-1,,4-0,1-1,,3-0,2009,62,20,.756,—,100.9,93.4,7.44,2009,Boston Celtics,1,2-0,2-0,2-1,,2-0,,,
2,Charlotte Bobcats,1-3,1-2,,2-1,0-3,0-2,0-2,1-3,1-1,0-2,2-2,2-0,2-0,1-3,1-3,1-1,1-2,2-2,0-4,3-1,1-1,1-1,2-0,0-2,,2-2,1-1,,3-1,2009,35,47,.427,24.0,93.6,94.9,-1.20,2009,Charlotte Bobcats,0,2-0,1-1,,,1-1,,,
3,Chicago Bulls,0-3,1-2,,,1-3,1-1,1-1,3-1,2-0,1-1,2-2,2-0,0-2,1-3,3-1,0-2,3-1,2-1,1-3,2-2,2-0,0-2,2-0,0-2,,1-3,2-0,,3-1,2009,41,41,.500,25.0,102.2,102.5,-0.16,2009,Chicago Bulls,1,1-1,2-0,1-2,,1-1,,,
4,Cleveland Cavaliers,3-1,2-2,,3-1,,2-0,2-0,3-1,2-0,1-1,3-1,2-0,0-2,3-1,4-0,2-0,3-0,4-0,1-2,3-1,2-0,2-0,2-0,2-0,,3-0,2-0,,2-2,2009,66,16,.805,—,100.3,91.4,8.68,2009,Cleveland Cavaliers,1,2-0,1-1,3-0,,2-0,,,
5,Dallas Mavericks,1-1,0-2,,1-1,0-2,,0-4,2-0,2-1,2-2,2-0,3-1,0-3,2-0,1-1,4-0,1-1,2-0,1-1,2-0,3-1,3-0,3-1,2-2,,2-0,2-2,,2-0,2009,50,32,.610,4.0,101.7,99.8,1.68,2009,Dallas Mavericks,1,2-2,1-3,2-0,,2-1,,,
6,Denver Nuggets,1-1,1-1,,1-1,0-2,4-0,,0-2,2-1,1-3,1-1,4-0,1-3,2-0,1-1,4-0,1-1,2-0,1-1,2-0,1-2,2-2,3-1,2-1,,2-0,2-2,,2-0,2009,54,28,.659,—,104.3,100.9,3.13,2009,Denver Nuggets,1,3-0,2-2,2-0,,4-0,,,
7,Detroit Pistons,0-3,1-3,,1-3,1-3,0-2,2-0,,2-0,0-2,2-2,2-0,1-1,1-3,3-1,1-1,2-2,2-2,3-0,1-2,0-2,0-2,2-0,1-1,,3-0,0-2,,3-1,2009,39,43,.476,27.0,94.2,94.7,-0.36,2009,Detroit Pistons,1,1-1,0-2,3-1,,1-1,,,
8,Golden State Warriors,1-1,1-1,,0-2,0-2,1-2,1-2,0-2,,0-4,1-1,3-1,0-4,0-2,1-1,2-2,2-0,1-1,0-2,1-1,1-3,2-1,2-2,0-4,,1-1,2-2,,1-1,2009,29,53,.354,36.0,108.6,112.3,-3.80,2009,Golden State Warriors,0,0-3,2-2,1-1,,2-2,,,
9,Houston Rockets,1-1,1-1,,1-1,1-1,2-2,3-1,2-0,4-0,,0-2,3-1,0-4,2-0,1-1,4-0,2-0,1-1,2-0,0-2,2-1,2-1,3-0,2-2,,1-1,2-2,,1-1,2009,53,29,.646,1.0,98.4,94.4,3.73,2009,Houston Rockets,1,2-2,3-1,2-0,,3-0,,,
10,Indiana Pacers,1-3,1-3,,2-2,1-3,0-2,1-1,2-2,1-1,2-0,,1-1,1-1,2-1,2-2,1-1,2-1,1-2,1-3,2-2,1-1,0-2,2-0,0-2,,2-2,0-2,,2-1,2009,36,46,.439,30.0,105.1,106.2,-0.76,2009,Indiana Pacers,0,1-1,0-2,2-2,,2-0,,,
11,Los Angeles Clippers,1-1,1-1,,0-2,0-2,1-3,0-4,0-2,1-3,1-3,1-1,,0-4,1-1,1-1,1-2,1-1,2-0,0-2,0-2,0-4,1-3,1-3,0-4,,0-2,0-3,,1-1,2009,19,63,.232,46.0,95.1,103.9,-8.47,2009,Los Angeles Clippers,0,1-2,0-3,0-2,,3-1,,,
12,Los Angeles Lakers,1-1,2-0,,2-0,2-0,3-0,3-1,1-1,4-0,4-0,1-1,4-0,,1-1,2-0,4-0,2-0,2-0,0-2,1-1,3-1,2-2,3-1,2-1,,2-0,2-1,,2-0,2009,65,17,.793,—,106.9,99.3,7.11,2009,Los Angeles Lakers,1,4-0,3-1,0-2,,3-0,,,
13,Memphis Grizzlies,1-1,0-2,,1-1,0-2,2-2,0-3,1-1,3-0,2-2,1-1,2-1,0-4,1-1,1-1,0-3,0-2,0-2,1-1,0-2,1-3,0-4,2-2,0-4,,1-1,0-4,,2-0,2009,24,58,.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies,0,,1-3,0-2,,1-3,,,
14,Miami Heat,1-3,1-3,,3-1,1-3,0-2,0-2,3-1,2-0,0-2,1-2,1-1,1-1,,2-1,1-1,3-1,2-1,1-3,2-2,2-0,0-2,2-0,1-1,,1-2,2-0,,4-0,2009,43,39,.524,16.0,98.3,98.0,0.49,2009,Miami Heat,1,1-1,0-2,3-1,,2-0,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,
16,Milwaukee Bucks,1-3,1-2,,1-3,0-4,1-1,1-1,1-3,1-1,1-1,2-2,1-1,0-2,1-2,,0-2,2-2,3-1,1-3,0-3,0-2,0-2,2-0,2-0,,2-2,1-1,,3-0,2009,34,48,.415,32.0,99.3,100.4,-0.88,2009,Milwaukee Bucks,0,1-1,0-2,3-1,,2-0,,,
17,Minnesota Timberwolves,0-2,0-2,,2-0,0-2,0-4,0-4,1-1,2-2,0-4,1-1,2-1,0-4,1-1,2-0,,1-1,1-1,0-2,1-1,1-2,0-4,1-3,0-4,,0-2,1-3,,0-2,2009,24,58,.293,30.0,97.8,102.7,-4.74,2009,Minnesota Timberwolves,0,3-0,1-2,1-1,,2-2,,,
18,New Jersey Nets,3-1,0-4,,1-3,0-3,1-1,1-1,2-2,0-2,0-2,1-2,1-1,0-2,1-3,2-2,1-1,,2-2,1-2,4-0,1-1,0-2,2-0,0-2,,2-2,1-1,,2-2,2009,34,48,.415,28.0,98.1,100.5,-2.31,2009,New Jersey Nets,0,2-0,0-2,2-1,,1-1,,,
19,New Orleans Hornets,0-2,0-2,,0-2,1-1,3-1,2-2,2-0,2-2,1-3,2-0,3-0,1-3,2-0,2-0,2-1,2-0,0-2,1-1,2-0,2-1,2-2,3-1,2-2,,2-0,0-3,,2-0,2009,49,33,.598,5.0,95.8,94.3,1.41,2009,New Orleans Hornets,1,3-1,,1-1,,4-0,,,
20,New York Knicks,2-1,1-3,,1-2,0-4,0-2,0-2,2-2,1-1,1-1,2-1,0-2,0-2,1-2,1-3,1-1,2-2,,1-3,0-4,1-1,0-2,1-1,1-1,,2-2,1-1,,3-1,2009,32,50,.390,30.0,105.2,107.8,-2.33,2009,New York Knicks,0,2-0,2-0,2-2,,1-1,,,
21,Oklahoma City Thunder,0-2,0-2,,1-1,0-2,1-2,0-4,1-1,2-2,0-3,0-2,1-3,0-3,0-2,0-2,2-2,1-1,1-1,0-2,1-1,0-4,1-3,2-1,2-2,,1-1,1-3,,1-1,2009,23,59,.280,31.0,97.0,103.1,-6.04,2009,Oklahoma City Thunder,0,3-1,0-4,1-1,,,,,
22,Orlando Magic,3-1,2-2,,3-1,2-1,1-1,1-1,0-3,2-0,0-2,3-1,2-0,2-0,3-1,3-1,2-0,2-1,3-1,,3-0,1-1,1-1,2-0,2-0,,2-2,2-0,,4-0,2009,59,23,.720,—,101.0,94.4,6.48,2009,Orlando Magic,1,1-1,1-1,4-0,,2-0,,,
23,Philadelphia 76ers,2-1,0-4,,2-2,1-3,0-2,0-2,2-1,1-1,2-0,2-2,2-0,1-1,2-2,3-0,1-1,0-4,4-0,0-3,,1-1,2-0,2-0,1-1,,2-2,0-2,,4-0,2009,41,41,.500,21.0,97.4,97.3,0.16,2009,Philadelphia 76ers,1,2-0,0-2,1-3,,1-1,,,
24,Phoenix Suns,2-0,0-2,,0-2,0-2,1-3,2-1,2-0,3-1,1-2,1-1,4-0,1-3,0-2,2-0,2-1,1-1,1-1,1-1,1-1,,2-2,3-1,1-3,,2-0,2-2,,2-0,2009,46,36,.561,19.0,109.4,107.5,1.62,2009,Phoenix Suns,0,3-1,1-2,1-1,,4-0,,,
25,Portland Trail Blazers,1-1,1-1,,2-0,0-2,0-3,2-2,2-0,1-2,1-2,2-0,3-1,2-2,2-0,2-0,4-0,2-0,2-0,1-1,0-2,2-2,,3-0,3-1,,2-0,2-2,,2-0,2009,54,28,.659,—,99.4,94.1,5.00,2009,Portland Trail Blazers,1,4-0,2-2,1-1,,3-1,,,
26,Sacramento Kings,0-2,0-2,,0-2,0-2,1-3,1-3,0-2,2-2,0-3,0-2,3-1,1-3,0-2,0-2,3-1,0-2,1-1,0-2,0-2,1-3,0-3,,0-3,,0-2,0-4,,0-2,2009,17,65,.207,48.0,100.6,109.3,-8.60,2009,Sacramento Kings,0,2-2,1-3,0-2,,1-2,,,
27,San Antonio Spurs,2-0,1-1,,2-0,0-2,2-2,1-2,1-1,4-0,2-2,2-0,4-0,1-2,1-1,0-2,4-0,2-0,1-1,0-2,1-1,3-1,1-3,3-0,,,1-1,3-0,,2-0,2009,54,28,.659,—,97.0,93.3,3.36,2009,San Antonio Spurs,1,4-0,2-2,2-0,,2-2,,,
28,Toronto Raptors,1-3,0-4,,3-1,0-3,0-2,0-2,0-3,1-1,1-1,2-2,2-0,0-2,2-1,2-2,2-0,2-2,2-2,2-2,2-2,0-2,0-2,2-0,1-1,,,0-2,,2-1,2009,33,49,.402,29.0,99.0,101.9,-2.54,2009,Toronto Raptors,0,1-1,0-2,2-2,,1-1,,,
